critic,fresh,imdb,link,publication,quote,review_date,rtid,title
,fresh,0114709,"http://www.ew.com/ew/article/0,,299671,00.html",Entertainment Weekly,"I can hardly imagine having more fun at the movies than I did at Toy Story, the miraculous new Disney feature that's the first full-length animated film to be produced entirely on computer.",1995-11-22 00:00:00,9559,Toy Story
Roger Moore,fresh,0114709,"http://www.orlandosentinel.com/entertainment/movies/orl-movie-review-toy-story-toy-story-2-3d,0,4640680.story",Orlando Sentinel,"The great voice acting, the visual puns, all added up to an animation game changer.",1995-11-22 00:00:00,9559,Toy Story
Roger Ebert,rotten,0113497,http://www.rogerebert.com/reviews/jumanji-1995,Chicago Sun-Times,"A gloomy special-effects extravaganza filled with grotesque images, generating fear and despair.",2000-01-01 00:00:00,12436,Jumanji
Richard Schickel,fresh,0107050,"http://www.time.com/time/magazine/article/0,9171,979929,00.html",TIME Magazine,Walter Matthau and Jack Lemmon are awfully good at this sort of thing.,2008-08-24 00:00:00,10498,Grumpy Old Men
Derek Adams,rotten,0107050,http://www.timeout.com/film/reviews/70607/grumpy_old_men.html,Time Out,"Mediocre, regrettably.",2006-06-24 00:00:00,10498,Grumpy Old Men
Caryn James,fresh,0107050,http://movies.nytimes.com/movie/review?res=9F0CE7DC1431F937A15751C1A965958260&partner=Rotten Tomatoes,New York Times,"Just don't expect their bickering to be on the level of Neil Simon, and you won't be disappointed.",2003-05-20 00:00:00,10498,Grumpy Old Men
James Berardinelli,fresh,0107050,http://www.reelviews.net/php_review_template.php?identifier=179,ReelViews,"While it won't come close to my top 10 best list for 1993, it will be right up there among the pictures that I had the most fun watching.",2000-01-01 00:00:00,10498,Grumpy Old Men
Roger Ebert,rotten,0107050,http://www.rogerebert.com/reviews/grumpy-old-men-1993,Chicago Sun-Times,"The movie is too pat and practiced to really be convincing, and the progress of Ariel's relationships with the two grumps seems dictated mostly by the needs of the screenplay.",2000-01-01 00:00:00,10498,Grumpy Old Men
Desson Thomson,fresh,0107050,http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/grumpyoldmenpg13howe_a0b020.htm,Washington Post,"If you poke through Grumpy's cheap sentimentality, you'll find a worthy picture somewhere.",2000-01-01 00:00:00,10498,Grumpy Old Men
Liam Lacey,rotten,0114885,http://www.globeandmail.com/servlet/ArticleNews/movie/TVCONNECT/00010101/101804,Globe and Mail,Never escapes the queasy aura of Melrose Place: just another story about beautiful people with small problems.,2002-04-12 00:00:00,16697,Waiting to Exhale
Kenneth Turan,fresh,0114885,"http://www.calendarlive.com/movies/reviews/cl-movie960406-14,0,831090.story",Los Angeles Times,A pleasant if undemanding piece of work that is diverting to sit through though it won't stand up to any kind of rigorous examination.,2001-02-13 00:00:00,16697,Waiting to Exhale
Edward Guthmann,rotten,0114885,http://www.sfgate.com/cgi-bin/article.cgi?f=/c/a/1996/04/26/DD13066.DTL,San Francisco Chronicle,"You want the movie to stomp and rejoice and cry like a fool; instead it meanders and lollygags, occasionally flaring up, then sputtering again.",2000-01-01 00:00:00,16697,Waiting to Exhale
Desson Thomson,fresh,0114885,http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/waitingtoexhalerhowe_b003ad.htm,Washington Post,This sister-celebratory adaptation of Terry McMillan's best-selling book is frequently delightful.,2000-01-01 00:00:00,16697,Waiting to Exhale
Joan Walsh,rotten,0114885,http://www.salon.com/05/departments/hotb.html#waiting,Salon.com,"The male-bashing taken to an extreme in Waiting to Exhale is starting to seem a little like crack for the female psyche, exhilarating in the short term but ultimately crippling and dangerous.",2000-01-01 00:00:00,16697,Waiting to Exhale
Joe Baltake,rotten,0114885,http://www.movieclub.com/reviews/archives/95waiting/waiting.html,Sacramento Bee,"With one possible exception, none of its women is at all likable.",2000-01-01 00:00:00,16697,Waiting to Exhale
Susan Stark,rotten,0114885,http://data.detnews.com/movies/details.hbs?myrec=276,Detroit News,"For all the pleasure there is in seeing effective, great-looking black women grappling with major life issues on screen, Waiting to Exhale is an uneven piece.",2000-01-01 00:00:00,16697,Waiting to Exhale
James Berardinelli,rotten,0114885,http://www.reelviews.net/movies/w/waiting.html,ReelViews,"With the exception of Bernadine, I never felt anything for the women populating this film, as they failed to capture my interest or sympathy.",2000-01-01 00:00:00,16697,Waiting to Exhale
Roger Ebert,fresh,0114885,http://www.rogerebert.com/reviews/waiting-to-exhale-1995,Chicago Sun-Times,"An escapist fantasy that women in the audience can enjoy by musing, 'I wish I had her problems' - and her car, house, wardrobe, figure and men, even wrong men.",2000-01-01 00:00:00,16697,Waiting to Exhale
Todd McCarthy,fresh,0113277,http://www.variety.com/review/VE1117904741.html?categoryid=31&cs=1,Variety,Heat occupies an exalted position among the countless contemporary crime films.,2008-10-16 00:00:00,13098,Heat
Geoff Andrew,fresh,0113277,http://www.timeout.com/film/reviews/71852/heat.html,Time Out,"This is simply the best American crime movie -- and indeed, one of the finest movies, period -- in over a decade.",2006-02-09 00:00:00,13098,Heat
Janet Maslin,rotten,0113277,http://movies.nytimes.com/movie/review?res=9C05E0DD1739F936A25751C1A963958260&partner=Rotten Tomatoes,New York Times,"As Heat progresses, its sensational looks pale beside storytelling weaknesses that expose the more soulless aspects of this cat-and-mouse crime tale.",2003-05-20 00:00:00,13098,Heat
Kenneth Turan,fresh,0113277,"http://www.calendarlive.com/movies/reviews/cl-movie960406-19,0,1158775.story",Los Angeles Times,"Michael Mann and a superlative cast have taken a classic heist movie rife with familiar genre elements and turned it into a sleek, accomplished piece of work, meticulously controlled and completely involving.",2001-02-13 00:00:00,13098,Heat
Andrew Ross,rotten,0113277,http://www.salon.com/16dec1995/reviews/dog.html,Salon.com,"All the squealing tires, flying bullets and falling bodies cannot save Heat from drowning in its own banalities ...",2000-01-01 00:00:00,13098,Heat
Roger Ebert,fresh,0113277,http://www.rogerebert.com/reviews/heat-1995,Chicago Sun-Times,Michael Mann's writing and direction elevate this material. It's not just an action picture.,2000-01-01 00:00:00,13098,Heat
James Berardinelli,rotten,0113277,http://www.reelviews.net/php_review_template.php?identifier=1332,ReelViews,... a colossal disappointment.,2000-01-01 00:00:00,13098,Heat
Hal Hinson,fresh,0113277,http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/heatrhinson_c03d9c.htm,Washington Post,"If there's one thing Michael Mann knows how to do, it's create tension.",2000-01-01 00:00:00,13098,Heat
Desson Thomson,fresh,0113277,http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/heatrhowe_c03d97.htm,Washington Post,"As with his other works, [Mann] binds sound, music and pictures into one hypnotic triaxial cable and plugs it right into your brain. He makes this almost-three-hour experience practically glide by.",2000-01-01 00:00:00,13098,Heat
Susan Stark,fresh,0113277,http://data.detnews.com/movies/details.hbs?myrec=121,Detroit News,Boosters and touts use the term 'major movie' so often that it's more likely to generate yawns than excitement at this point. Back to basics. Heat is a major movie. With major stars. Doing major acting.,2000-01-01 00:00:00,13098,Heat
Edward Guthmann,fresh,0113277,http://www.sfgate.com/cgi-bin/article.cgi?f=/c/a/1996/06/21/DD57272.DTL,San Francisco Chronicle,"This is the first time De Niro and Pacino have acted together, and each gives a strong, watertight performance.",2000-01-01 00:00:00,13098,Heat
Joe Baltake,fresh,0113277,http://www.movieclub.com/reviews/archives/95heat/heat.html,Sacramento Bee,"Heat has an impressively strong script by Mann, and he backs it up with gorgeous filmmaking.",2000-01-01 00:00:00,13098,Heat
Owen Gleiberman,fresh,0113277,"http://www.ew.com/ew/article/0,,300104,00.html",Entertainment Weekly,Heat is an ''epic'' that feels like a stunt.,1995-12-15 00:00:00,13098,Heat
,fresh,0047437,"http://www.time.com/time/magazine/article/0,9171,820214-2,00.html",TIME Magazine,"This is never less than glittering entertainment, but somehow a certain measure of lead has found its way into the formula.",2009-02-03 00:00:00,18228,Sabrina
Variety Staff,fresh,0047437,http://www.variety.com/review/VE1117794622.html?categoryid=31&cs=1,Variety,"Script is long on glibly quipping dialog, dropped with a seemingly casual air, and broadly played situations. The splendid trouping delivers them style. Leavening the chuckles are tugs at the heart.",2008-10-18 00:00:00,18228,Sabrina
Dave Kehr,fresh,0047437,http://onfilm.chicagoreader.com/movies/capsules/10588_SABRINA,Chicago Reader,Wilder's tastelessness now seems his major artistic strength.,2007-08-15 00:00:00,18228,Sabrina
Derek Adams,fresh,0047437,http://www.timeout.com/film/reviews/73887/sabrina.html,Time Out,"It's a Cinderella story that gets turned on its head, a satire about breaking down class and emotional barriers, and a confrontation between New World callousness and Old World humanity.",2006-06-24 00:00:00,18228,Sabrina
James Berardinelli,fresh,0047437,http://www.reelviews.net/php_review_template.php?identifier=666,ReelViews,"Hampered by an unimaginative script ... nevertheless manages to be a thoroughly charming, delightfully romantic variation of the Cinderella story.",2000-01-01 00:00:00,18228,Sabrina
Bosley Crowther,fresh,0047437,http://www.nytimes.com/books/98/12/27/specials/wilder-sabrina.html,New York Times,"It is a story as light as a feather and as old as yesterday's news, as transparent as a society column item and as smug as a foreign-made car. But Mr. Wilder...has made it into a commentary as crisp as a screed in a smart magazine.",2000-01-01 00:00:00,18228,Sabrina
Geoff Andrew,fresh,0114576,http://www.timeout.com/film/reviews/75559/sudden_death.html,Time Out,"Reuniting Hyams and Van Damme, director and star of Timecop, this spectacular nail-biter exploits their combined, if limited, abilities to the full.",2006-02-09 00:00:00,15378,Sudden Death
Stephen Holden,fresh,0114576,http://movies.nytimes.com/movie/review?res=9F06E4DF1539F931A15751C1A963958260&partner=Rotten Tomatoes,New York Times,"Offers above-average pyrotechnics, a body count that steadily mounts, and plenty of hand-to-hand combat.",2003-05-20 00:00:00,15378,Sudden Death
Mick LaSalle,fresh,0114576,http://www.sfgate.com/cgi-bin/article.cgi?f=/c/a/1996/06/14/DD31502.DTL,San Francisco Chronicle,Sudden Death is one of the best action thrillers of 1995. It's also the film Jean-Claude Van Damme has been building up to for 10 years.,2002-06-18 00:00:00,15378,Sudden Death
Kevin Thomas,fresh,0114576,"http://www.calendarlive.com/movies/reviews/cl-movie960406-8,0,4957569.story",Los Angeles Times,"A treat for Jean-Claude Van Damme fans, a superior action thriller loaded with jaw-dropping stunts and special effects, and strong in production values.",2001-02-13 00:00:00,15378,Sudden Death
Roger Ebert,fresh,0114576,http://www.rogerebert.com/reviews/sudden-death-1995,Chicago Sun-Times,"Sudden Death isn't about common sense. It's about the manipulation of action and special-effects sequences to create a thriller effect, and at that it's pretty good.",2000-01-01 00:00:00,15378,Sudden Death
Richard Harrington,fresh,0114576,http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/suddendeathrharrington_c03f07.htm,Washington Post,"Though the climactic duel atop the arena roof is patently absurd, it's also exciting as events go into sudden-death overtime, just like the game being played below.",2000-01-01 00:00:00,15378,Sudden Death
Desson Thomson,rotten,0114576,http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/suddendeathrhowe_b003a4.htm,Washington Post,"Van Damme races against time, trying to thwart Boothe and defuse all the bombs. But in the hands of director Peter Hyams, these are just banal action-movie chores.",2000-01-01 00:00:00,15378,Sudden Death
James Berardinelli,rotten,0114576,http://www.reelviews.net/movies/s/sudden_death.html,ReelViews,"About the best thing that can be said about this movie is that the action scenes, directed by Peter Hyams, are choreographed with flair. Unfortunately, the material connecting them is worthless.",2000-01-01 00:00:00,15378,Sudden Death
Anthony Lane,fresh,0113189,http://www.newyorker.com/arts/reviews/film/goldeneye_campbell,New Yorker,"Brosnan, however, looks set to stay. He'll never recapture the amused cool of the young Sean Connery, but he does overcome the handicap of looking like a humorless male model.",2012-10-23 00:00:00,12812,GoldenEye
Owen Gleiberman,rotten,0113189,"http://www.ew.com/ew/article/0,,299672,00.html",Entertainment Weekly,"I don't know whether the Bond series has a future, but if Xenia Onatopp ever returns to try for world domination, he may finally get a battle worth fighting.",2008-10-13 00:00:00,12812,GoldenEye
Jonathan Rosenbaum,fresh,0113189,http://onfilm.chicagoreader.com/movies/capsules/13156_GOLDENEYE,Chicago Reader,"There's something a mite pathetic about our culture still clinging to 007, but it's hard to deny that this is one of the most entertaining entries in the Bond cycle.",2008-10-13 00:00:00,12812,GoldenEye
Richard Schickel,rotten,0113189,"http://www.time.com/time/magazine/article/0,9171,983763,00.html",TIME Magazine,"Richard Kiel, you are missed.",2008-10-13 00:00:00,12812,GoldenEye
Todd McCarthy,fresh,0113189,http://www.variety.com/review/VE1117904690.html?categoryid=31&cs=1,Variety,"Among the better of the 17 Bonds and, perhaps more important for today's audience, a dynamic action entry in its own right, this first 007 adventure in six years breathes fresh creative and commercial life into the 33-year-old series.",2008-10-02 00:00:00,12812,GoldenEye
,fresh,0113189,http://www.timeout.com/film/reviews/70351/goldeneye.html,Time Out,Director Campbell keeps matters bowling along and even manages to recapture something of the look of the earlier films.,2006-02-09 00:00:00,12812,GoldenEye
Janet Maslin,rotten,0113189,http://movies.nytimes.com/movie/review?res=9405E2DC1239F934A25752C1A963958260&partner=Rotten Tomatoes,New York Times,Suffers the blahs.,2003-05-20 00:00:00,12812,GoldenEye
Peter Stack,fresh,0113189,http://www.sfgate.com/cgi-bin/article.cgi?f=/c/a/1995/11/17/DD71044.DTL,San Francisco Chronicle,"Supercharged with spectacular, thundering, brain-numbing fun.",2002-06-18 00:00:00,12812,GoldenEye
Rick Groen,rotten,0113189,http://www.theglobeandmail.com/servlet/ArticleNews/movie/MOVIEREVIEWS/19951117/953210146,Globe and Mail,"They have given James a new car here, but it's the same old vanity plate, the one that should read: Je Me Souviens.",2002-04-12 00:00:00,12812,GoldenEye
Kenneth Turan,rotten,0113189,"http://www.calendarlive.com/movies/reviews/cl-movie960406-47,0,1420920.story",Los Angeles Times,"A reasonable facsimile more than any kind of original, and it's hard not to feel a certain weariness while watching it unfold.",2001-02-13 00:00:00,12812,GoldenEye
Hal Hinson,fresh,0113189,http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/goldeneye.htm,Washington Post,Directed with top-dollar proficiency (and some real wit).,2000-01-01 00:00:00,12812,GoldenEye
James Berardinelli,fresh,0113189,http://www.reelviews.net/php_review_template.php?identifier=76,ReelViews,Perhaps the best entry in the series since The Spy Who Loved Me.,2000-01-01 00:00:00,12812,GoldenEye
Roger Ebert,fresh,0113189,http://www.rogerebert.com/reviews/goldeneye-1995,Chicago Sun-Times,"Watching the film, I got caught up in the special effects and the neat stunts, and I observed with a certain satisfaction Bond's belated entry into a more modern world.",2000-01-01 00:00:00,12812,GoldenEye
Geoff Andrew,fresh,0112346,http://www.timeout.com/film/reviews/77858/the_american_president.html,Time Out,"Part romantic comedy, part Capra-corny political drama, this movie exudes so much sympathy, it sweats.",2006-06-24 00:00:00,10129,The American President
Janet Maslin,fresh,0112346,http://movies.nytimes.com/movie/review?res=9501E5DC1239F934A25752C1A963958260&partner=Rotten Tomatoes,New York Times,"With great looks, a dandy supporting cast, a zinger-filled screenplay by Aaron Sorkin and Mr. Douglas twinkling merrily in the Oval Office, The American President is sunny enough to make the real Presidency pale by comparison.",2003-05-20 00:00:00,10129,The American President
Kenneth Turan,fresh,0112346,"http://www.calendarlive.com/movies/reviews/cl-movie960406-46,0,1355383.story",Los Angeles Times,Genial and entertaining if not notably inspired.,2001-02-13 00:00:00,10129,The American President
,fresh,0112346,http://www.variety.com/review/VE1117796745.html?categoryid=31&cs=1,Variety,Genial middlebrow fare that coasts a long way on the charm of its two stars.,2001-02-13 00:00:00,10129,The American President
James Berardinelli,rotten,0112346,http://www.reelviews.net/php_review_template.php?identifier=1667,ReelViews,"Neither bad nor unwatchable, The American President is nevertheless the second straight disappointment from director Rob Reiner.",2000-01-01 00:00:00,10129,The American President
Joe Baltake,fresh,0112346,http://www.movieclub.com/reviews/archives/95americanprez/americanprez.html,Sacramento Bee,"A shrewd new depiction of 'office sex,' as well as an utterly positive view of the idea that a president's character is important.",2000-01-01 00:00:00,10129,The American President
Susan Stark,fresh,0112346,http://data.detnews.com/movies/details.hbs?myrec=7,Detroit News,"Apart from its too-obvious political bias, The American President has romance in its heart, smarts in abundance and class to spare.",2000-01-01 00:00:00,10129,The American President
Roger Ebert,fresh,0112346,http://www.rogerebert.com/reviews/the-american-president-1995,Chicago Sun-Times,Great entertainment.,2000-01-01 00:00:00,10129,The American President
Desson Thomson,fresh,0112346,http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/theamericanpresidentpg13howe_c03797.htm,Washington Post,A well-modulated charmer.,2000-01-01 00:00:00,10129,The American President
Rita Kempley,fresh,0112346,http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/theamericanpresidentpg13kempley_c0379e.htm,Washington Post,Frothy.,2000-01-01 00:00:00,10129,The American President
Edward Guthmann,fresh,0112346,http://www.sfgate.com/cgi-bin/article.cgi?f=/c/a/1995/11/17/DD23285.DTL,San Francisco Chronicle,"'Capraesque' has inevitably been affixed to The American President, but that phrase, with its implications of facile hokum, doesn't do the film justice.",2000-01-01 00:00:00,10129,The American President
Owen Gleiberman,fresh,0112346,"http://www.ew.com/ew/article/0,,299567,00.html",Entertainment Weekly,"The image of a chief executive as moonstruck single guy taps something buoyant and touching in our collective democratic imagination. And Douglas, wearing a fast-break smile in place of his usual frown, strikes a tender rapport with Bening...",1995-11-17 00:00:00,10129,The American President
Jonathan Rosenbaum,rotten,0112896,http://www.chicagoreader.com/chicago/dracula-dead-and-loving-it/Film?oid=1050115,Chicago Reader,Either this is the lamest Mel Brooks comedy ever or it's too close to other contenders to make much difference.,2009-10-20 00:00:00,10445,Dracula - Dead and Loving It
Joe Leydon,rotten,0112896,http://www.variety.com/review/VE1117910573.html?categoryid=31&cs=1,Variety,"The only real sparks are set off by MacNicol as Renfield, the solicitor who develops a taste for flies and spiders after being bitten by Dracula.",2009-03-26 00:00:00,10445,Dracula - Dead and Loving It
,rotten,0112896,http://www.timeout.com/film/reviews/65742/dracula-dead_and_loving_it.html,Time Out,"Brooks, as Van Helsing, is one of the more successful aspects, but he hasn't imbued in his stock company a similar ability to rise above their underwritten roles.",2006-01-26 00:00:00,10445,Dracula - Dead and Loving It
Janet Maslin,fresh,0112896,http://movies.nytimes.com/movie/review?res=9804E3DF1539F931A15751C1A963958260&partner=Rotten Tomatoes,New York Times,Slight but amusing.,2003-05-20 00:00:00,10445,Dracula - Dead and Loving It
David Kronke,rotten,0112896,"http://www.calendarlive.com/movies/reviews/cl-movie960406-12,0,700016.story",Los Angeles Times,"Not to venture forth some sort of radical idea, but aren't comedies supposed to have jokes?",2002-08-15 00:00:00,10445,Dracula - Dead and Loving It
James Berardinelli,rotten,0112896,http://www.reelviews.net/php_review_template.php?identifier=1782,ReelViews,It's a toothless parody that misses more often than it hits.,2000-01-01 00:00:00,10445,Dracula - Dead and Loving It
Hal Hinson,rotten,0112896,http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/draculadeadandlovingitpg13hinson_c03f0a.htm,Washington Post,"This time, unfortunately, he's sucking on a dry vein.",2000-01-01 00:00:00,10445,Dracula - Dead and Loving It
Desson Thomson,rotten,0112896,http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/draculadeadandlovingitpg13howe_b003a5.htm,Washington Post,"Dracula is anemic and mediocre, with only one or two moments to remind you of the former, funnier Brooks.",2000-01-01 00:00:00,10445,Dracula - Dead and Loving It
Mick LaSalle,fresh,0112896,http://www.sfgate.com/cgi-bin/article.cgi?f=/c/a/1995/12/22/DD57440.DTL,San Francisco Chronicle,"Nielsen makes a dapper and calmly inept Dracula, but it's Brooks' irrepressible and oblivious Van Helsing who's the main attraction.",2000-01-01 00:00:00,10445,Dracula - Dead and Loving It
Geoff Andrew,rotten,0113987,http://www.timeout.com/film/reviews/63447/nixon.html,Time Out,"As wayward and self-regarding as its subject, the film long overstays its welcome.",2006-01-26 00:00:00,16248,Nixon
Janet Maslin,fresh,0113987,http://movies2.nytimes.com/mem/movies/review.html?title1=&title2=FOR%20GOD%20AND%20COUNTRY%20%28MOVIE%29&reviewer=Janet%20Maslin&v_id=135504&pdate=19951220&partner=Rotten Tomatoes,New York Times,"What it finally adds up to is a huge mixed bag of waxworks and daring, a film that is furiously ambitious even when it goes flat, and startling even when it settles for eerie, movie-of-the-week mimicry.",2003-05-20 00:00:00,16248,Nixon
Kenneth Turan,fresh,0113987,"http://www.calendarlive.com/movies/reviews/cl-movie960406-15,0,896627.story",Los Angeles Times,"Nixon starts, like a horror movie, on a dark and stormy night, with the president prowling around a room of the White House like Dracula in his lair.",2001-02-13 00:00:00,16248,Nixon
Todd McCarthy,rotten,0113987,http://www.variety.com/review/VE1117910569.html?categoryid=31&cs=1,Variety,Nixon far overstays its welcome with an increasingly tedious final hour devoted largely to slogging through the minutiae of Watergate.,2001-02-13 00:00:00,16248,Nixon
James Berardinelli,fresh,0113987,http://www.reelviews.net/php_review_template.php?identifier=1371,ReelViews,"Factual or not, there's no denying that Nixon has moments when it is nothing short of compelling.",2000-01-01 00:00:00,16248,Nixon
Mick LaSalle,rotten,0113987,http://www.sfgate.com/cgi-bin/article.cgi?f=/c/a/1995/12/20/DD21970.DTL,San Francisco Chronicle,The problem here isn't accuracy. It's absurdity.,2000-01-01 00:00:00,16248,Nixon
Roger Ebert,fresh,0113987,http://www.rogerebert.com/reviews/nixon-1995,Chicago Sun-Times,"Thoughts of Hamlet, Macbeth and King Lear come to mind; here, again, is a ruler destroyed by his fatal flaws. There's something almost majestic about the process: As Nixon goes down in this film, there is no gloating, but a watery sigh, as of a great ship",2000-01-01 00:00:00,16248,Nixon
Susan Stark,fresh,0113987,http://data.detnews.com/movies/details.hbs?myrec=198,Detroit News,"Thoughtful, well-researched and carefully modulated, the film also marks director Oliver Stone's coming of age.",2000-01-01 00:00:00,16248,Nixon
Joe Baltake,fresh,0113987,http://www.movieclub.com/reviews/archives/95nixon/nixon.html,Sacramento Bee,"Rich, dense and complex.",2000-01-01 00:00:00,16248,Nixon
Owen Gleiberman,fresh,0112641,"http://www.ew.com/ew/article/0,,299779,00.html",Entertainment Weekly,"[Stone] seems to be trying to enter a more passionate movie, where a neurotic gold digger could at least have a good time. By the end of Casino, for all its craftsmanly bravura, you may want to join her.",2010-01-25 00:00:00,13456,Casino
Richard Schickel,fresh,0112641,"http://www.time.com/time/magazine/article/0,9171,983767,00.html",TIME Magazine,"So long as Casino stays focused on the excesses -- of language, of violence, of ambition -- in the life-styles of the rich and infamous, it remains a smart, knowing, if often repetitive, spectacle.",2010-01-25 00:00:00,13456,Casino
Jonathan Rosenbaum,rotten,0112641,http://www.chicagoreader.com/chicago/casino/Film?oid=1049364,Chicago Reader,Simultaneously quite watchable and passionless.,2010-01-25 00:00:00,13456,Casino
Todd McCarthy,fresh,0112641,http://www.variety.com/review/VE1117904698.html?categoryid=31&cs=1,Variety,"Martin Scorsese's intimate epic about money, sex and brute force is a grandly conceived study of what happens to goodfellas from the mean streets when they outstrip their wildest dreams and achieve the pinnacle of wealth and power.",2008-05-16 00:00:00,13456,Casino
David Ansen,rotten,0112641,http://www.newsweek.com/id/104197,Newsweek,"It's not the actors' fault that no one is able to break through the film's gorgeous but chilly surface. You watch Casino with respect and appreciation, reveling in its documentary sense of detail.",2008-03-31 00:00:00,13456,Casino
Geoff Andrew,rotten,0112641,http://www.timeout.com/film/reviews/68926/casino.html,Time Out,"The result, sadly, is that contradiction in terms, a dull Scorsese movie.",2006-02-09 00:00:00,13456,Casino
Janet Maslin,fresh,0112641,http://movies.nytimes.com/movie/review?res=9C05E5D91339F931A15752C1A963958260&partner=Rotten Tomatoes,New York Times,"Of all the bravura visual effects in Martin Scorsese's dazzlingly stylish Casino, it's a glimpse of ordinary people that delivers the greatest jolt.",2003-05-20 00:00:00,13456,Casino
Mick LaSalle,rotten,0112641,http://www.sfgate.com/cgi-bin/article.cgi?f=/c/a/1996/05/24/DD38770.DTL,San Francisco Chronicle,"It's an ambitious film, but also a scattered, unfocused one.",2002-06-18 00:00:00,13456,Casino
Rick Groen,fresh,0112641,http://www.globeandmail.com/servlet/ArticleNews/movie/TVCONNECT/00010101/100209,Globe and Mail,"Visually impressive, splendidly performed, thematically significant, this is a movie in full possession of every key cinematic asset except one -- a solid script.",2002-04-12 00:00:00,13456,Casino
Kenneth Turan,fresh,0112641,"http://www.calendarlive.com/movies/reviews/cl-movie960406-40,0,962161.story",Los Angeles Times,"Martin Scorsese is a master filmmaker, so skilled in the manipulation of imagery he might be the most proficient of active American directors.",2001-02-13 00:00:00,13456,Casino
